name,meta.id;meta.main,-
ra,pos.eq.ra;meta.main,deg
dec,pos.eq.dec;meta.main,deg
freq,em.freq,Hz
f_sum,phot.flux,Jy*Hz
err_f_sum,stat.error,Jy*Hz
rms,instr.det.noise,Jy/beam
w20,spect.line.width,Hz
w50,spect.line.width,Hz
kin_pa,pos.posAng,deg
rel,meta.code.qual,-
flag,meta.code.qual,-
n_pix,stat.value,-
f_min,phot.flux.density,Jy/beam
f_max,phot.flux.density,Jy/beam
ell_maj,phys.angSize.smajAxis,pixel
ell_min,phys.angSize.sminAxis,pixel
ell_pa,pos.posAng,deg
ell3s_maj,phys.angSize.smajAxis,pixel
ell3s_min,phys.angSize.sminAxis,pixel
ell3s_pa,pos.posAng,deg
wm50,spect.line.width,Hz
x,pos.cartesian.x,pixel
err_x,stat.error,pixel
y,pos.cartesian.y,pixel
err_y,stat.error,pixel
z,pos.cartesian.z,pixel
err_z,stat.error,pixel
x_min,pos.cartesian.x,pixel
x_max,pos.cartesian.x,pixel
y_min,pos.cartesian.y,pixel
y_max,pos.cartesian.y,pixel
z_min,pos.cartesian.z,pixel
z_max,pos.cartesian.z,pixel
x_peak,pos.cartesian.x,pixel
y_peak,pos.cartesian.y,pixel
z_peak,pos.cartesian.z,pixel
ra_peak,pos.eq.ra,deg
dec_peak,pos.eq.ra,deg
freq_peak,em.freq,Jy/beam
